Products_link,Products_Model,Products_details,Price_regular,Price_offers,Currency,Known_price
https://www.device-specs.io/categories/smartphones/specifications-oneplus-nord-ce-5413729239227,Oneplus Nord CE,8 cores - 6.43 inch - 256GB - Charcoal - 5413729239227,349,,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-oppo-a96-cph2333sk,Oppo A96,2022 - Qualcomm Snapdragon 680 - 8 cores - 6.59 inch - 128GB - Black - CPH2333SK,285, ,,2
https://www.device-specs.io/categories/smartphones/specifications-oukitel-wp12-wp12-bkol,Oukitel WP12,4 cores - 5.5 inch - 32GB - Black - WP12-BK/OL,189.95, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-6s-app-iphone6s32gd3,Apple iPhone 6s,2 cores - 5.5 inch - 32GB - Gold - APP-IPHONE6S32GD3,269, ,,1
https://www.device-specs.io/categories/smartphones/specifications-myphone-hammer-4-tlmpha4s,Myphone HAMMER 4,1 cores - 5 inch - 64GB - Black - TLMPHA4S,89,83,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-z-fold4-sm-f936uzaaxau,Samsung Galaxy Z Fold4,Snapdragon 8+ Gen 1 - 7.6 inch - 256GB - Graygreen - SM-F936UZAAXAU,1799.99,75,USD,1
https://www.device-specs.io/categories/smartphones/specifications-motorola-moto-g-power-pase0005us,Motorola Moto G Power,MediaTek Helio G37 - 6.5 inch - 64GB - Dark Grove - PASE0005US,199.99,129.99,USD,1
https://www.device-specs.io/categories/smartphones/specifications-crosscall-core-z5-1001011601265,Crosscall Core Z5,2022 - Qualcomm QCM6490 - 8 cores - 6.08 inch - 64GB - Black - 1001011601265,799.99, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-a22-sm_a226brdsn,Samsung Galaxy A22,2021 - 8 cores - 6.6 inch - 128GB - Mint - SM_A226BR/DSN,232.38,231.9,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s22-sm-s906uidexau,Samsung Galaxy S22+,Qualcomm Snapdragon 8 Gen 1 - 6.6 inch - 256GB - Pink Gold - SM-S906UIDEXAU,43.75,37.49,USD,2
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-14-mpwf3lla,Apple iPhone 14,"A15 Bionic chip, 6-core CPU with 2 performance and 4 efficiency cores, 5-core GPU, 16-core Neural Engine - 6.1 inch - 256GB - (PRODUCT)RED - MPWF3LL/A",899.99,37.5,USD,4
https://www.device-specs.io/categories/smartphones/specifications-xiaomi-12-purple-mzb0ad8eu,Xiaomi 12 Purple,2022 - 8 cores - 6 inch - 128GB - Violet - MZB0AD8EU,679.95,639.95,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-realme-9-pro-6941399068087,Realme 9 Pro,2022 - 8 cores - 6.4 inch - 128GB - Black - 6941399068087,409.95,342.65,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-blackview-bl5000-6931548307518,Blackview BL5000,8 cores - 6.36 inch - 128GB - Black - 6931548307518,298.75,,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-vivo-x80-pro-5661266,Vivo X80 Pro,2022 - 8 cores - 6.78 inch - 256GB - Black - 5661266,1219, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s22-ultra-sm-x900nzaaeub,Samsung Galaxy S22 Ultra,2022 - [Qualcomm SM8450] - 8 cores - 14.6 inch - 128GB - Gray - SM-X900NZAAEUB,2399,2349,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s21-fe-ef-zg990cvegew,Samsung Galaxy S21 FE,2022 - Qualcomm Snapdragon 888 - 8 cores - 6.4 inch - 128GB - Purple - EF-ZG990CVEGEW,538.99, ,,1
https://www.device-specs.io/categories/smartphones/specifications-crosscall-core-x4-1001010801327,Crosscall Core-X4,2021 - Qualcomm Snapdragon 450 - 8 cores - 5.45 inch - 64GB - Black - 1001010801327,374.01,346.99,EUR,2
https://www.device-specs.io/categories/smartphones/specifications-xiaomi-redmi-note-9t-m2007j22g,Xiaomi Redmi Note 9T,2021 - 8 cores - 6.53 inch - 64GB - Black - M2007J22G,193.75, ,,1
https://www.device-specs.io/categories/smartphones/specifications-lg-leon-lgh340nanldkt,Lg Leon,4 cores - 4.5 inch - 8GB - Black - LGH340N.ANLDKT,, ,,1
https://www.device-specs.io/categories/smartphones/specifications-blackview-bv6600-gbv6600-orange,Blackview BV6600,8 cores - 5.7 inch - 64GB - Orange - GBV6600 ORANGE,216.9, ,,1
https://www.device-specs.io/categories/smartphones/specifications-huawei-p30-pro-51093nfu,Huawei P30 Pro,8 cores - 6.47 inch - 8GB - Blue - 51093NFU,417.73, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-11-mhdl3zda,Apple iPhone 11,2019 - 6 cores - 6.1 inch - 128GB - Yellow - MHDL3ZD/A,428,404,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-nokia-g10-ta-1334,Nokia G10,2021 - 8 cores - 6.5 inch - 32GB - Blue - TA-1334,139,119,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-oppo-reno8-cph2359sd,Oppo Reno8,2022 - 8 cores - 6.43 inch - 256GB - Gold - CPH2359SD,521, ,,2
https://www.device-specs.io/categories/smartphones/specifications-google-pixel-4a-ga02099-eu,Google Pixel 4a,2020 - 8 cores - 5.8 inch - 128GB - Black - GA02099-EU,319, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-xr-app-xr64or4,Apple iPhone XR,2018 - 6 cores - 6.1 inch - 64GB - Coral - APP-XR64OR4,579,499.95,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-a52s-sm-a528blvceue,Samsung Galaxy A52s,8 cores - 6.5 inch - 128GB - Violet - SM-A528BLVCEUE,543, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-j7-sm-j710fzkd,Samsung Galaxy J7,2016 - 8 cores - 5.5 inch - 16GB - Black - SM-J710FZKD,219,,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-se-mxd02ba,Apple iPhone SE,6 cores - 4.7 inch - 128GB - rosegold - MXD02B/A,200, ,,2
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-a03-8806092885486,Samsung Galaxy A03,2021 - 8 cores - 6.5 inch - 128GB - Blue - 8806092885486,164, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s10-sm-g975fzkdphn,Samsung Galaxy S10,2019 - 8 cores - 6.4 inch - 128GB - Prism Black - SM-G975FZKDPHN,599.99, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-m33-m336bzbgeub,Samsung Galaxy M33,2022 - 8 cores - 6.6 inch - 128GB - Blue - M336BZBGEUB,277, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s7-g930-pink-378592,Samsung Galaxy S7 G930 Pink,2016 - 8 cores - 5.1 inch - 32GB - little finger - 378592,339, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s20-fe-sm-g780fzgdeub,Samsung Galaxy S20 FE,2020 - 8 cores - 6.5 inch - 128GB - Cloud Mint - SM-G780FZGDEUB,535,,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-xs-app-xs256gr3,Apple iPhone Xs,2018 - 4 cores - 6.5 inch - 256GB - space grey - APP-XS256GR3,328,315,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-14-mpv73lla,Apple iPhone 14,"A15 Bionic chip, 6-core CPU with 2 performance and 4 efficiency cores, 5-core GPU, 16-core Neural Engine - 6.1 inch - 128GB - (PRODUCT)RED - MPV73LL/A",799.99,33.34,USD,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-14-mpvh3lla,Apple iPhone 14,"A15 Bionic chip, 6-core CPU with 2 performance and 4 efficiency cores, 5-core GPU, 16-core Neural Engine - 6.1 inch - 128GB - Blue - MPVH3LL/A",799.99,22.22,USD,4
